구,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),노선명,역명,승차총승객수,하차총승객수
강남,2019-01-01,-3.7,0,1.8,2호선,강남,38729,36544
강남,2019-01-02,-3.5,0,1.5,2호선,강남,116550,116482
강남,2019-01-03,-1.9,0,1.1,2호선,강남,122254,122889
강남,2019-01-04,-0.5,0,1.3,2호선,강남,129878,134948
강남,2019-01-05,-1.5,0,2,2호선,강남,90030,95814
강남,2019-01-06,-1.6,0,1.3,2호선,강남,52313,51169
강남,2019-01-07,-0.7,0,1.4,2호선,강남,121527,121092
강남,2019-01-08,-2.3,0,2,2호선,강남,123559,123099
강남,2019-01-09,-3.6,0,1.3,2호선,강남,123657,122365
강남,2019-01-10,0,0,1.3,2호선,강남,124860,124336
강남,2019-01-11,3,0,1.1,2호선,강남,132727,137826
강남,2019-01-12,3.9,0,1.3,2호선,강남,94172,100223
강남,2019-01-13,2.7,0,1.3,2호선,강남,54937,53935
강남,2019-01-14,2.1,0,0.6,2호선,강남,118984,119047
강남,2019-01-15,-0.7,0,2.3,2호선,강남,122593,121979
강남,2019-01-16,-4.5,0,1.8,2호선,강남,124782,124193
강남,2019-01-17,0.7,0,1.7,2호선,강남,124182,125391
강남,2019-01-18,1.6,0,1.2,2호선,강남,130864,136701
강남,2019-01-19,4.1,0,1.1,2호선,강남,92863,99494
강남,2019-01-20,-0.5,0,2.8,2호선,강남,54660,52899
강남,2019-01-21,0.3,0,1.6,2호선,강남,118767,119423
강남,2019-01-22,2.7,0,1.5,2호선,강남,122092,121935
강남,2019-01-23,3.1,0,1.7,2호선,강남,124516,125097
강남,2019-01-24,1.5,0,1.6,2호선,강남,124412,125178
강남,2019-01-25,0,0,2.2,2호선,강남,131976,136614
강남,2019-01-26,-1.7,0,1.9,2호선,강남,94215,100006
강남,2019-01-27,0.5,0,1.7,2호선,강남,55479,54361
강남,2019-01-28,2,0,2.2,2호선,강남,118690,118726
강남,2019-01-29,1.1,0,1.1,2호선,강남,120636,120632
강남,2019-01-30,2.9,0,1.5,2호선,강남,118278,118613
강남,2019-01-31,-1.1,0,2.5,2호선,강남,116722,117092
강남,2019-02-01,-0.9,0,1.8,2호선,강남,121504,125405
강남,2019-02-02,2.5,0,1.1,2호선,강남,66872,70450
강남,2019-02-03,3.4,21,1.4,2호선,강남,35479,36451
강남,2019-02-04,0.6,0,2,2호선,강남,31111,30927
강남,2019-02-05,3.6,0,1.2,2호선,강남,18220,20426
강남,2019-02-06,5.5,0,1.3,2호선,강남,43634,44943
강남,2019-02-07,-1.3,0,2.8,2호선,강남,112821,112748
강남,2019-02-08,-5.1,0,1.7,2호선,강남,125284,129588
강남,2019-02-09,-4.6,0,2.3,2호선,강남,92129,96745
강남,2019-02-10,-4,0,1.6,2호선,강남,55171,53165
강남,2019-02-11,-2,0,2,2호선,강남,120781,120844
강남,2019-02-12,0.3,0,1.1,2호선,강남,123491,123766
강남,2019-02-13,-0.9,0,1.6,2호선,강남,123987,123988
강남,2019-02-14,0.5,0,1.4,2호선,강남,124454,125377
강남,2019-02-15,-0.1,0.5,1.7,2호선,강남,129941,135541
강남,2019-02-16,-1.7,0,1.9,2호선,강남,99742,106027
강남,2019-02-17,-0.2,0,1.7,2호선,강남,58361,57195
강남,2019-02-18,1.7,0,0.9,2호선,강남,119816,120374
강남,2019-02-19,1.8,4.5,1.4,2호선,강남,118693,120305
강남,2019-02-20,2.8,0,1.8,2호선,강남,122568,122426
강남,2019-02-21,3.4,0,1.4,2호선,강남,122808,124020
강남,2019-02-22,4.9,0,1.3,2호선,강남,127961,133495
강남,2019-02-23,7.5,0,1.2,2호선,강남,97146,103140
강남,2019-02-24,6.8,0,1.6,2호선,강남,58864,57900
강남,2019-02-25,5.7,0,1.8,2호선,강남,117868,118951
강남,2019-02-26,6.5,0,1.5,2호선,강남,121908,122528
강남,2019-02-27,8.8,0,1.4,2호선,강남,121819,122046
강남,2019-02-28,8.1,0,1.6,2호선,강남,124567,129463
강남,2019-03-01,7.8,0,1.6,2호선,강남,68560,72429
강남,2019-03-02,8.4,0,1.1,2호선,강남,82670,85228
강남,2019-03-03,10.1,0,0.9,2호선,강남,51776,50154
강남,2019-03-04,10.7,0,1.3,2호선,강남,107192,107707
강남,2019-03-05,8.8,0,1.3,2호선,강남,109716,110097
강남,2019-03-06,9.2,0,1.1,2호선,강남,111584,112543
강남,2019-03-07,8.1,0,1.7,2호선,강남,114315,114931
강남,2019-03-08,7.2,0,1.3,2호선,강남,125175,131189
강남,2019-03-09,8.1,0,0.9,2호선,강남,99584,105208
강남,2019-03-10,10.7,0,1.1,2호선,강남,58220,56950
강남,2019-03-11,7.5,0,1.6,2호선,강남,110429,110853
강남,2019-03-12,4.8,0,2.5,2호선,강남,111381,112162
강남,2019-03-13,4.4,0,2.9,2호선,강남,113234,113899
강남,2019-03-14,5.9,0,1.6,2호선,강남,114128,115054
강남,2019-03-15,5.4,7,1.5,2호선,강남,122978,126938
강남,2019-03-16,5.2,0,1.3,2호선,강남,96254,101517
강남,2019-03-17,7.3,0,1.7,2호선,강남,58186,57252
강남,2019-03-18,7.9,0,1.2,2호선,강남,109533,110204
강남,2019-03-19,10.8,0,1.3,2호선,강남,111171,112004
강남,2019-03-20,10.7,19.5,0.9,2호선,강남,112388,110949
강남,2019-03-21,7.9,4,2.4,2호선,강남,112740,113555
강남,2019-03-22,4.1,0,2.1,2호선,강남,122680,127688
강남,2019-03-23,4.5,3,2,2호선,강남,94876,100332
강남,2019-03-24,5.3,0,1.8,2호선,강남,58485,56939
강남,2019-03-25,8.1,0,1.6,2호선,강남,107370,108522
강남,2019-03-26,12,0,1.7,2호선,강남,110394,111249
강남,2019-03-27,12.5,0,2.9,2호선,강남,111470,111958
강남,2019-03-28,10.2,0,2,2호선,강남,111983,113178
강남,2019-03-29,9.7,0,2,2호선,강남,119765,125634
강남,2019-03-30,5.8,3,2.6,2호선,강남,91973,95586
강남,2019-03-31,5.1,0,2.8,2호선,강남,55239,53796
강남,2019-04-01,6.5,0,2.4,2호선,강남,105624,106319
강남,2019-04-02,7.8,0,2.1,2호선,강남,108063,108603
강남,2019-04-03,8.3,0,2,2호선,강남,110617,111075
강남,2019-04-04,9.8,0,2.5,2호선,강남,111536,112628
강남,2019-04-05,11.8,0,2.4,2호선,강남,120197,125788
강남,2019-04-06,10.3,0,0.7,2호선,강남,88923,93827
강남,2019-04-07,12.7,0,1.3,2호선,강남,55689,54845
강남,2019-04-08,12.5,0,2.3,2호선,강남,107301,108144
강남,2019-04-09,9.6,20,2.1,2호선,강남,108481,107390
강남,2019-04-10,7.6,4,1.4,2호선,강남,109232,109946
강남,2019-04-11,10.3,0,1.4,2호선,강남,112346,113271
강남,2019-04-12,12.2,0,1.6,2호선,강남,119912,124399
강남,2019-04-13,12.7,0,1.7,2호선,강남,90478,95624
강남,2019-04-14,10.6,1.5,2,2호선,강남,51264,51028
강남,2019-04-15,13,0,1.8,2호선,강남,106591,107947
강남,2019-04-16,15.9,0,1.4,2호선,강남,107821,108932
강남,2019-04-17,16.3,0,1.6,2호선,강남,108878,109494
강남,2019-04-18,13.8,0,1.8,2호선,강남,108756,110017
강남,2019-04-19,13.9,0,1.4,2호선,강남,115248,120183
강남,2019-04-20,14.8,0,1.4,2호선,강남,84310,89202
강남,2019-04-21,15.3,0.5,1.6,2호선,강남,48887,48100
강남,2019-04-22,19.6,0,1.4,2호선,강남,103958,105177
강남,2019-04-23,21,0,1.1,2호선,강남,106171,107397
강남,2019-04-24,19.7,6.5,1.3,2호선,강남,108843,109517
강남,2019-04-25,13.7,11,1.5,2호선,강남,111149,111291
강남,2019-04-26,9.3,4,1.6,2호선,강남,121860,127804
강남,2019-04-27,12.8,0,1.3,2호선,강남,92893,98524
강남,2019-04-28,13.8,0,1.3,2호선,강남,57347,56398
강남,2019-04-29,13.6,0,0.9,2호선,강남,105058,105954
강남,2019-04-30,16.1,0,1.5,2호선,강남,112630,116321
강남,2019-05-01,17.1,0,2.1,2호선,강남,77204,78025
강남,2019-05-02,18.5,0,2,2호선,강남,113101,114737
