,구,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),노선명,역명,승하차인원,휴일여부
0,강남,2019-01-01,-3.7,0.0,1.8,2호선,강남,75273,1
1,강남,2019-01-02,-3.5,0.0,1.5,2호선,강남,233032,0
2,강남,2019-01-03,-1.9,0.0,1.1,2호선,강남,245143,0
3,강남,2019-01-04,-0.5,0.0,1.3,2호선,강남,264826,1
4,강남,2019-01-05,-1.5,0.0,2.0,2호선,강남,185844,1
5,강남,2019-01-06,-1.6,0.0,1.3,2호선,강남,103482,1
6,강남,2019-01-07,-0.7,0.0,1.4,2호선,강남,242619,0
7,강남,2019-01-08,-2.3,0.0,2.0,2호선,강남,246658,0
8,강남,2019-01-09,-3.6,0.0,1.3,2호선,강남,246022,0
9,강남,2019-01-10,0.0,0.0,1.3,2호선,강남,249196,0
10,강남,2019-01-11,3.0,0.0,1.1,2호선,강남,270553,1
11,강남,2019-01-12,3.9,0.0,1.3,2호선,강남,194395,1
12,강남,2019-01-13,2.7,0.0,1.3,2호선,강남,108872,1
13,강남,2019-01-14,2.1,0.0,0.6,2호선,강남,238031,0
14,강남,2019-01-15,-0.7,0.0,2.3,2호선,강남,244572,0
15,강남,2019-01-16,-4.5,0.0,1.8,2호선,강남,248975,0
16,강남,2019-01-17,0.7,0.0,1.7,2호선,강남,249573,0
17,강남,2019-01-18,1.6,0.0,1.2,2호선,강남,267565,1
18,강남,2019-01-19,4.1,0.0,1.1,2호선,강남,192357,1
19,강남,2019-01-20,-0.5,0.0,2.8,2호선,강남,107559,1
20,강남,2019-01-21,0.3,0.0,1.6,2호선,강남,238190,0
21,강남,2019-01-22,2.7,0.0,1.5,2호선,강남,244027,0
22,강남,2019-01-23,3.1,0.0,1.7,2호선,강남,249613,0
23,강남,2019-01-24,1.5,0.0,1.6,2호선,강남,249590,0
24,강남,2019-01-25,0.0,0.0,2.2,2호선,강남,268590,1
25,강남,2019-01-26,-1.7,0.0,1.9,2호선,강남,194221,1
26,강남,2019-01-27,0.5,0.0,1.7,2호선,강남,109840,1
27,강남,2019-01-28,2.0,0.0,2.2,2호선,강남,237416,0
28,강남,2019-01-29,1.1,0.0,1.1,2호선,강남,241268,0
29,강남,2019-01-30,2.9,0.0,1.5,2호선,강남,236891,0
30,강남,2019-01-31,-1.1,0.0,2.5,2호선,강남,233814,0
31,강남,2019-02-01,-0.9,0.0,1.8,2호선,강남,246909,1
32,강남,2019-02-02,2.5,0.0,1.1,2호선,강남,137322,1
33,강남,2019-02-03,3.4,21.0,1.4,2호선,강남,71930,1
34,강남,2019-02-04,0.6,0.0,2.0,2호선,강남,62038,1
35,강남,2019-02-05,3.6,0.0,1.2,2호선,강남,38646,1
36,강남,2019-02-06,5.5,0.0,1.3,2호선,강남,88577,1
37,강남,2019-02-07,-1.3,0.0,2.8,2호선,강남,225569,0
38,강남,2019-02-08,-5.1,0.0,1.7,2호선,강남,254872,1
39,강남,2019-02-09,-4.6,0.0,2.3,2호선,강남,188874,1
40,강남,2019-02-10,-4.0,0.0,1.6,2호선,강남,108336,1
41,강남,2019-02-11,-2.0,0.0,2.0,2호선,강남,241625,0
42,강남,2019-02-12,0.3,0.0,1.1,2호선,강남,247257,0
43,강남,2019-02-13,-0.9,0.0,1.6,2호선,강남,247975,0
44,강남,2019-02-14,0.5,0.0,1.4,2호선,강남,249831,0
45,강남,2019-02-15,-0.1,0.5,1.7,2호선,강남,265482,1
46,강남,2019-02-16,-1.7,0.0,1.9,2호선,강남,205769,1
47,강남,2019-02-17,-0.2,0.0,1.7,2호선,강남,115556,1
48,강남,2019-02-18,1.7,0.0,0.9,2호선,강남,240190,0
49,강남,2019-02-19,1.8,4.5,1.4,2호선,강남,238998,0
50,강남,2019-02-20,2.8,0.0,1.8,2호선,강남,244994,0
51,강남,2019-02-21,3.4,0.0,1.4,2호선,강남,246828,0
52,강남,2019-02-22,4.9,0.0,1.3,2호선,강남,261456,1
53,강남,2019-02-23,7.5,0.0,1.2,2호선,강남,200286,1
54,강남,2019-02-24,6.8,0.0,1.6,2호선,강남,116764,1
55,강남,2019-02-25,5.7,0.0,1.8,2호선,강남,236819,0
56,강남,2019-02-26,6.5,0.0,1.5,2호선,강남,244436,0
57,강남,2019-02-27,8.8,0.0,1.4,2호선,강남,243865,0
58,강남,2019-02-28,8.1,0.0,1.6,2호선,강남,254030,0
59,강남,2019-03-01,7.8,0.0,1.6,2호선,강남,140989,1
60,강남,2019-03-02,8.4,0.0,1.1,2호선,강남,167898,1
61,강남,2019-03-03,10.1,0.0,0.9,2호선,강남,101930,1
62,강남,2019-03-04,10.7,0.0,1.3,2호선,강남,214899,0
63,강남,2019-03-05,8.8,0.0,1.3,2호선,강남,219813,0
64,강남,2019-03-06,9.2,0.0,1.1,2호선,강남,224127,0
65,강남,2019-03-07,8.1,0.0,1.7,2호선,강남,229246,0
66,강남,2019-03-08,7.2,0.0,1.3,2호선,강남,256364,1
67,강남,2019-03-09,8.1,0.0,0.9,2호선,강남,204792,1
68,강남,2019-03-10,10.7,0.0,1.1,2호선,강남,115170,1
69,강남,2019-03-11,7.5,0.0,1.6,2호선,강남,221282,0
70,강남,2019-03-12,4.8,0.0,2.5,2호선,강남,223543,0
71,강남,2019-03-13,4.4,0.0,2.9,2호선,강남,227133,0
72,강남,2019-03-14,5.9,0.0,1.6,2호선,강남,229182,0
73,강남,2019-03-15,5.4,7.0,1.5,2호선,강남,249916,1
74,강남,2019-03-16,5.2,0.0,1.3,2호선,강남,197771,1
75,강남,2019-03-17,7.3,0.0,1.7,2호선,강남,115438,1
76,강남,2019-03-18,7.9,0.0,1.2,2호선,강남,219737,0
77,강남,2019-03-19,10.8,0.0,1.3,2호선,강남,223175,0
78,강남,2019-03-20,10.7,19.5,0.9,2호선,강남,223337,0
79,강남,2019-03-21,7.9,4.0,2.4,2호선,강남,226295,0
80,강남,2019-03-22,4.1,0.0,2.1,2호선,강남,250368,1
81,강남,2019-03-23,4.5,3.0,2.0,2호선,강남,195208,1
82,강남,2019-03-24,5.3,0.0,1.8,2호선,강남,115424,1
83,강남,2019-03-25,8.1,0.0,1.6,2호선,강남,215892,0
84,강남,2019-03-26,12.0,0.0,1.7,2호선,강남,221643,0
85,강남,2019-03-27,12.5,0.0,2.9,2호선,강남,223428,0
86,강남,2019-03-28,10.2,0.0,2.0,2호선,강남,225161,0
87,강남,2019-03-29,9.7,0.0,2.0,2호선,강남,245399,1
88,강남,2019-03-30,5.8,3.0,2.6,2호선,강남,187559,1
89,강남,2019-03-31,5.1,0.0,2.8,2호선,강남,109035,1
90,강남,2019-04-01,6.5,0.0,2.4,2호선,강남,211943,0
91,강남,2019-04-02,7.8,0.0,2.1,2호선,강남,216666,0
92,강남,2019-04-03,8.3,0.0,2.0,2호선,강남,221692,0
93,강남,2019-04-04,9.8,0.0,2.5,2호선,강남,224164,0
94,강남,2019-04-05,11.8,0.0,2.4,2호선,강남,245985,1
95,강남,2019-04-06,10.3,0.0,0.7,2호선,강남,182750,1
96,강남,2019-04-07,12.7,0.0,1.3,2호선,강남,110534,1
97,강남,2019-04-08,12.5,0.0,2.3,2호선,강남,215445,0
98,강남,2019-04-09,9.6,20.0,2.1,2호선,강남,215871,0
99,강남,2019-04-10,7.6,4.0,1.4,2호선,강남,219178,0
100,강남,2019-04-11,10.3,0.0,1.4,2호선,강남,225617,0
101,강남,2019-04-12,12.2,0.0,1.6,2호선,강남,244311,1
102,강남,2019-04-13,12.7,0.0,1.7,2호선,강남,186102,1
103,강남,2019-04-14,10.6,1.5,2.0,2호선,강남,102292,1
104,강남,2019-04-15,13.0,0.0,1.8,2호선,강남,214538,0
105,강남,2019-04-16,15.9,0.0,1.4,2호선,강남,216753,0
106,강남,2019-04-17,16.3,0.0,1.6,2호선,강남,218372,0
107,강남,2019-04-18,13.8,0.0,1.8,2호선,강남,218773,0
108,강남,2019-04-19,13.9,0.0,1.4,2호선,강남,235431,1
109,강남,2019-04-20,14.8,0.0,1.4,2호선,강남,173512,1
110,강남,2019-04-21,15.3,0.5,1.6,2호선,강남,96987,1
111,강남,2019-04-22,19.6,0.0,1.4,2호선,강남,209135,0
112,강남,2019-04-23,21.0,0.0,1.1,2호선,강남,213568,0
113,강남,2019-04-24,19.7,6.5,1.3,2호선,강남,218360,0
114,강남,2019-04-25,13.7,11.0,1.5,2호선,강남,222440,0
115,강남,2019-04-26,9.3,4.0,1.6,2호선,강남,249664,1
116,강남,2019-04-27,12.8,0.0,1.3,2호선,강남,191417,1
117,강남,2019-04-28,13.8,0.0,1.3,2호선,강남,113745,1
118,강남,2019-04-29,13.6,0.0,0.9,2호선,강남,211012,0
119,강남,2019-04-30,16.1,0.0,1.5,2호선,강남,228951,0
120,강남,2019-05-01,17.1,0.0,2.1,2호선,강남,155229,1
121,강남,2019-05-02,18.5,0.0,2.0,2호선,강남,227838,0
122,강남,2019-05-03,18.7,0.0,1.6,2호선,강남,249663,1
123,강남,2019-05-04,20.4,0.0,1.4,2호선,강남,185174,1
124,강남,2019-05-05,20.1,0.0,1.7,2호선,강남,112919,1
125,강남,2019-05-06,15.1,0.0,2.4,2호선,강남,122553,1
126,강남,2019-05-07,15.9,0.0,2.0,2호선,강남,217385,0
127,강남,2019-05-08,16.4,0.0,2.1,2호선,강남,214006,0
128,강남,2019-05-09,17.1,0.0,2.0,2호선,강남,226024,0
129,강남,2019-05-10,18.7,0.0,1.6,2호선,강남,250220,1
130,강남,2019-05-11,21.2,0.0,1.3,2호선,강남,191184,1
131,강남,2019-05-12,22.2,0.0,1.2,2호선,강남,112232,1
132,강남,2019-05-13,19.6,0.0,1.1,2호선,강남,215715,0
133,강남,2019-05-14,20.9,0.0,1.3,2호선,강남,224495,0
134,강남,2019-05-15,21.6,0.0,1.4,2호선,강남,227880,0
135,강남,2019-05-16,24.0,0.0,1.4,2호선,강남,228390,0
136,강남,2019-05-17,24.4,0.0,1.1,2호선,강남,243820,1
137,강남,2019-05-18,22.9,0.0,1.4,2호선,강남,186653,1
138,강남,2019-05-19,19.4,15.5,0.7,2호선,강남,104513,1
139,강남,2019-05-20,16.9,4.5,2.9,2호선,강남,216544,0
140,강남,2019-05-21,17.8,0.0,2.6,2호선,강남,221924,0
141,강남,2019-05-22,20.7,0.0,2.2,2호선,강남,221459,0
142,강남,2019-05-23,23.3,0.0,1.1,2호선,강남,224712,0
143,강남,2019-05-24,25.2,0.0,1.5,2호선,강남,245728,1
144,강남,2019-05-25,24.3,0.0,1.5,2호선,강남,189153,1
145,강남,2019-05-26,25.1,0.0,1.6,2호선,강남,114102,1
146,강남,2019-05-27,18.4,4.5,2.0,2호선,강남,208202,0
147,강남,2019-05-28,19.1,0.0,2.0,2호선,강남,220273,0
148,강남,2019-05-29,20.0,0.0,1.8,2호선,강남,220598,0
149,강남,2019-05-30,20.0,0.0,1.6,2호선,강남,219566,0
150,강남,2019-05-31,20.1,0.0,1.9,2호선,강남,236299,1
151,강남,2019-06-01,19.3,0.0,1.1,2호선,강남,177759,1
152,강남,2019-06-02,21.8,0.0,1.0,2호선,강남,102482,1
153,강남,2019-06-03,23.6,0.0,1.0,2호선,강남,214569,0
154,강남,2019-06-04,23.5,0.0,1.5,2호선,강남,221837,0
155,강남,2019-06-05,24.0,0.0,1.2,2호선,강남,236833,0
156,강남,2019-06-06,21.8,5.5,0.6,2호선,강남,119309,1
157,강남,2019-06-07,20.1,40.0,1.1,2호선,강남,212627,1
158,강남,2019-06-08,22.4,0.0,0.7,2호선,강남,172867,1
159,강남,2019-06-09,22.4,0.0,0.9,2호선,강남,96230,1
160,강남,2019-06-10,19.3,7.5,0.7,2호선,강남,210666,0
161,강남,2019-06-11,21.2,0.0,0.7,2호선,강남,218537,0
162,강남,2019-06-12,22.0,0.0,1.0,2호선,강남,219386,0
163,강남,2019-06-13,23.8,0.0,0.9,2호선,강남,222079,0
164,강남,2019-06-14,24.0,0.0,0.9,2호선,강남,238614,1
165,강남,2019-06-15,22.5,5.5,1.3,2호선,강남,178729,1
166,강남,2019-06-16,22.4,0.0,1.0,2호선,강남,99711,1
167,강남,2019-06-17,22.3,0.0,1.4,2호선,강남,215481,0
168,강남,2019-06-18,21.0,10.0,0.9,2호선,강남,220382,0
169,강남,2019-06-19,22.4,0.0,0.9,2호선,강남,225005,0
170,강남,2019-06-20,23.5,0.0,1.1,2호선,강남,233462,0
171,강남,2019-06-21,23.1,0.0,1.2,2호선,강남,252193,1
172,강남,2019-06-22,24.8,0.0,1.0,2호선,강남,194209,1
173,강남,2019-06-23,25.1,0.0,1.0,2호선,강남,111791,1
174,강남,2019-06-24,25.4,0.0,1.5,2호선,강남,230330,0
175,강남,2019-06-25,26.5,0.0,1.3,2호선,강남,234779,0
176,강남,2019-06-26,25.5,0.0,1.2,2호선,강남,233735,0
177,강남,2019-06-27,26.2,0.0,1.3,2호선,강남,233364,0
178,강남,2019-06-28,25.3,0.0,0.8,2호선,강남,248888,1
179,강남,2019-06-29,23.6,2.0,0.2,2호선,강남,180451,1
180,강남,2019-06-30,24.5,0.0,0.8,2호선,강남,107872,1
181,강남,2019-07-01,24.3,0.0,1.6,2호선,강남,221588,0
182,강남,2019-07-02,25.1,0.0,1.6,2호선,강남,228471,0
183,강남,2019-07-03,24.9,0.0,1.2,2호선,강남,249983,0
184,강남,2019-07-04,26.3,0.0,1.4,2호선,강남,252071,0
185,강남,2019-07-05,28.3,0.0,1.2,2호선,강남,266297,1
186,강남,2019-07-06,29.6,0.0,1.5,2호선,강남,189576,1
187,강남,2019-07-07,27.1,0.0,1.6,2호선,강남,111675,1
188,강남,2019-07-08,25.6,0.0,1.6,2호선,강남,241032,0
189,강남,2019-07-09,25.6,0.0,1.4,2호선,강남,249284,0
190,강남,2019-07-10,22.9,15.0,1.3,2호선,강남,249602,0
191,강남,2019-07-11,22.4,5.0,1.0,2호선,강남,248015,0
192,강남,2019-07-12,24.2,0.0,1.7,2호선,강남,266512,1
193,강남,2019-07-13,25.2,0.0,1.4,2호선,강남,189758,1
194,강남,2019-07-14,26.3,0.0,1.2,2호선,강남,113430,1
195,강남,2019-07-15,23.9,26.5,0.9,2호선,강남,239596,0
196,강남,2019-07-16,25.6,0.5,1.0,2호선,강남,245649,0
197,강남,2019-07-17,26.7,0.0,0.9,2호선,강남,250655,0
198,강남,2019-07-18,27.7,9.5,1.0,2호선,강남,249689,0
199,강남,2019-07-19,28.5,0.5,1.4,2호선,강남,266403,1
200,강남,2019-07-20,28.6,1.0,2.0,2호선,강남,181372,1
201,강남,2019-07-21,25.6,8.0,1.5,2호선,강남,110891,1
202,강남,2019-07-22,27.6,0.0,1.4,2호선,강남,239856,0
203,강남,2019-07-23,28.7,0.0,1.3,2호선,강남,244757,0
204,강남,2019-07-24,27.2,0.0,1.1,2호선,강남,241956,0
205,강남,2019-07-25,26.8,8.5,0.9,2호선,강남,243601,0
206,강남,2019-07-26,26.1,115.5,0.9,2호선,강남,243952,1
207,강남,2019-07-27,28.9,29.5,1.0,2호선,강남,177411,1
208,강남,2019-07-28,26.4,27.0,1.3,2호선,강남,102883,1
209,강남,2019-07-29,28.3,0.5,1.7,2호선,강남,231045,0
210,강남,2019-07-30,29.1,0.0,1.9,2호선,강남,231960,0
211,강남,2019-07-31,26.6,64.0,1.4,2호선,강남,213468,0
212,강남,2019-08-01,27.3,50.0,1.0,2호선,강남,233585,0
213,강남,2019-08-02,29.9,0.0,0.9,2호선,강남,246179,1
214,강남,2019-08-03,30.3,0.0,0.9,2호선,강남,162764,1
215,강남,2019-08-04,29.0,0.0,0.7,2호선,강남,102849,1
216,강남,2019-08-05,31.5,0.0,0.6,2호선,강남,230637,0
217,강남,2019-08-06,32.0,0.0,0.9,2호선,강남,234247,0
218,강남,2019-08-07,26.8,13.5,0.6,2호선,강남,233180,0
219,강남,2019-08-08,29.4,0.0,0.8,2호선,강남,242990,0
220,강남,2019-08-09,30.0,0.0,0.8,2호선,강남,255290,1
221,강남,2019-08-10,31.8,0.0,1.3,2호선,강남,176402,1
222,강남,2019-08-11,31.2,4.0,2.1,2호선,강남,109225,1
