일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),노선명,역명,승하차인원,휴일여부
2019-01-01,-3.7,0,1.8,2호선,강남,75273,1
2019-01-02,-3.5,0,1.5,2호선,강남,233032,0
2019-01-03,-1.9,0,1.1,2호선,강남,245143,0
2019-01-04,-0.5,0,1.3,2호선,강남,264826,1
2019-01-05,-1.5,0,2,2호선,강남,185844,1
2019-01-06,-1.6,0,1.3,2호선,강남,103482,0
2019-01-07,-0.7,0,1.4,2호선,강남,242619,0
2019-01-08,-2.3,0,2,2호선,강남,246658,0
2019-01-09,-3.6,0,1.3,2호선,강남,246022,0
2019-01-10,0,0,1.3,2호선,강남,249196,0
2019-01-11,3,0,1.1,2호선,강남,270553,1
2019-01-12,3.9,0,1.3,2호선,강남,194395,1
2019-01-13,2.7,0,1.3,2호선,강남,108872,0
2019-01-14,2.1,0,0.6,2호선,강남,238031,0
2019-01-15,-0.7,0,2.3,2호선,강남,244572,0
2019-01-16,-4.5,0,1.8,2호선,강남,248975,0
2019-01-17,0.7,0,1.7,2호선,강남,249573,0
2019-01-18,1.6,0,1.2,2호선,강남,267565,1
2019-01-19,4.1,0,1.1,2호선,강남,192357,1
2019-01-20,-0.5,0,2.8,2호선,강남,107559,0
2019-01-21,0.3,0,1.6,2호선,강남,238190,0
2019-01-22,2.7,0,1.5,2호선,강남,244027,0
2019-01-23,3.1,0,1.7,2호선,강남,249613,0
2019-01-24,1.5,0,1.6,2호선,강남,249590,0
2019-01-25,0,0,2.2,2호선,강남,268590,1
2019-01-26,-1.7,0,1.9,2호선,강남,194221,1
2019-01-27,0.5,0,1.7,2호선,강남,109840,0
2019-01-28,2,0,2.2,2호선,강남,237416,0
2019-01-29,1.1,0,1.1,2호선,강남,241268,0
2019-01-30,2.9,0,1.5,2호선,강남,236891,0
2019-01-31,-1.1,0,2.5,2호선,강남,233814,0
2019-02-01,-0.9,0,1.8,2호선,강남,246909,1
2019-02-02,2.5,0,1.1,2호선,강남,137322,1
2019-02-03,3.4,21,1.4,2호선,강남,71930,0
2019-02-04,0.6,0,2,2호선,강남,62038,1
2019-02-05,3.6,0,1.2,2호선,강남,38646,1
2019-02-06,5.5,0,1.3,2호선,강남,88577,1
2019-02-07,-1.3,0,2.8,2호선,강남,225569,0
2019-02-08,-5.1,0,1.7,2호선,강남,254872,1
2019-02-09,-4.6,0,2.3,2호선,강남,188874,1
2019-02-10,-4,0,1.6,2호선,강남,108336,0
2019-02-11,-2,0,2,2호선,강남,241625,0
2019-02-12,0.3,0,1.1,2호선,강남,247257,0
2019-02-13,-0.9,0,1.6,2호선,강남,247975,0
2019-02-14,0.5,0,1.4,2호선,강남,249831,0
2019-02-15,-0.1,0.5,1.7,2호선,강남,265482,1
2019-02-16,-1.7,0,1.9,2호선,강남,205769,1
2019-02-17,-0.2,0,1.7,2호선,강남,115556,0
2019-02-18,1.7,0,0.9,2호선,강남,240190,0
2019-02-19,1.8,4.5,1.4,2호선,강남,238998,0
2019-02-20,2.8,0,1.8,2호선,강남,244994,0
2019-02-21,3.4,0,1.4,2호선,강남,246828,0
2019-02-22,4.9,0,1.3,2호선,강남,261456,1
2019-02-23,7.5,0,1.2,2호선,강남,200286,1
2019-02-24,6.8,0,1.6,2호선,강남,116764,0
2019-02-25,5.7,0,1.8,2호선,강남,236819,0
2019-02-26,6.5,0,1.5,2호선,강남,244436,0
2019-02-27,8.8,0,1.4,2호선,강남,243865,0
2019-02-28,8.1,0,1.6,2호선,강남,254030,0
2019-03-01,7.8,0,1.6,2호선,강남,140989,1
2019-03-02,8.4,0,1.1,2호선,강남,167898,1
2019-03-03,10.1,0,0.9,2호선,강남,101930,0
2019-03-04,10.7,0,1.3,2호선,강남,214899,0
2019-03-05,8.8,0,1.3,2호선,강남,219813,0
2019-03-06,9.2,0,1.1,2호선,강남,224127,0
2019-03-07,8.1,0,1.7,2호선,강남,229246,0
2019-03-08,7.2,0,1.3,2호선,강남,256364,1
2019-03-09,8.1,0,0.9,2호선,강남,204792,1
2019-03-10,10.7,0,1.1,2호선,강남,115170,0
2019-03-11,7.5,0,1.6,2호선,강남,221282,0
2019-03-12,4.8,0,2.5,2호선,강남,223543,0
2019-03-13,4.4,0,2.9,2호선,강남,227133,0
2019-03-14,5.9,0,1.6,2호선,강남,229182,0
2019-03-15,5.4,7,1.5,2호선,강남,249916,1
2019-03-16,5.2,0,1.3,2호선,강남,197771,1
2019-03-17,7.3,0,1.7,2호선,강남,115438,0
2019-03-18,7.9,0,1.2,2호선,강남,219737,0
2019-03-19,10.8,0,1.3,2호선,강남,223175,0
2019-03-20,10.7,19.5,0.9,2호선,강남,223337,0
2019-03-21,7.9,4,2.4,2호선,강남,226295,0
2019-03-22,4.1,0,2.1,2호선,강남,250368,1
2019-03-23,4.5,3,2,2호선,강남,195208,1
2019-03-24,5.3,0,1.8,2호선,강남,115424,0
